"","valence","year","acousticness","artists","danceability","duration_ms","energy","explicit","id","instrumentalness","key","liveness","loudness","mode","name","popularity","release_date","speechiness","tempo"
"121969",0.19,2005,0.000697,"['Opeth']",0.292,629480,0.818,0,"0ppdt8zRZOHIKh4ZDB0Zp9",0.00192,9,0.0544,-6.227,0,"Ghost of Perdition",50,"2005-08-30",0.0413,93.924
"62517",0.851,1957,0.696,"['Jutta Hipp', 'Zoot Sims']",0.61,522707,0.371,0,"4XZCbio5t7KEmGYoLcYPE8",0,8,0.0697,-10.807,1,"Just Blues",20,"1957",0.0333,114.792
"95544",0.962,1954,0.992,"['T. M. Soundararajan']",0.611,175480,0.459,0,"1fMpSQsUXKoveKeuwJQK6U",0.825,5,0.297,-10.774,0,"Ethanai Kalamtham",6,"1954-12-01",0.116,82.473
"22067",0.712,1936,0.913,"['Count Basie']",0.751,186093,0.312,0,"33RyFMn104w0kIB5tYBZet",0.202,7,0.0815,-10.944,1,"Oh, Lady Be Good",5,"1936",0.0509,93.676
"110951",0.268,1950,0.945,"['Tasia Verra']",0.204,309307,0.219,0,"128XQtefHzxpdIZ2M6eGPv",0.126,5,0.112,-14.431,1,"Mi me maloneis mana mou",0,"1950-01-01",0.0411,66.05
"76971",0.612,1941,0.992,"['Ludwig van Beethoven', 'Claudio Arrau']",0.463,94467,0.0559,0,"6nwHFKEsSElm0C0UeMh3Xn",0.907,2,0.174,-25.281,1,"6 Variations on an Original Theme in F Major, Op. 34: Variation I",0,"1941",0.0395,124.133
"135703",0.778,1994,0.0376,"['Allman Brothers Band']",0.533,244133,0.783,0,"6Qqp3cPe9CVcFEUXqgFLN0",0.0334,5,0.155,-6.904,1,"All Night Train",34,"1994-05-03",0.0252,93.703
"114082",0.596,1966,0.83,"['Waylon Jennings']",0.612,144693,0.317,0,"0ObeSUlMhxUZ8M2tdb46p9",2.11e-06,9,0.122,-13.837,1,"Anita, You're Dreaming",20,"1966-10-01",0.0366,101.954
"59282",0.252,1940,0.97,"['Josh White']",0.615,154160,0.113,0,"1OYKkprtDV0hcw5YTp6qZA",0.0207,8,0.116,-13.981,1,"Jerry",0,"1940",0.182,74.603
"147532",0.678,1979,0.0113,"['Wings']",0.546,192267,0.803,0,"0UEsG9cCuqiWhEnOtMmZNF",0.0128,7,0.127,-10.8,1,"To You - Remastered 1993",28,"1979-06-06",0.0522,134.211
"93565",0.947,1942,0.841,"['Shanta Apte']",0.534,189213,0.479,0,"5DPnk8t6Arb6B0BGxMIWYd",0.122,11,0.235,-9.35,1,"Chhota Sa Sansar Hamara",0,"1942-12-01",0.0578,136.911
"92479",0.481,1926,0.0384,"['Эрнест Хемингуэй']",0.699,100200,0.187,1,"6XSm7HngoGvLlOViuMQfAW",0,7,0.308,-18.027,1,"Часть 8.2 - Фиеста",0,"1926",0.954,103.595
"16184",0.909,2002,0.201,"['Bacilos']",0.745,237387,0.924,0,"5fSDXbY8o9pA3TKwAbfwML",5.01e-05,5,0.121,-3.898,1,"Mi primer millon",69,"2002-06-25",0.0355,103.033
"164789",0.968,1991,0.131,"['Dire Straits']",0.511,256600,0.956,0,"1NJBWqK7Uxxj02MUnIKcF6",0.175,9,0.077,-7.56,1,"The Bug",26,"1991-09-10",0.0518,174.465
"3489",0.469,1939,0.839,"['Harry James']",0.354,193600,0.414,0,"45jgwSmeV8NhGJcq5irUxz",0.868,8,0.21,-10.361,1,"Carnival",17,"1939",0.0392,115.038
"61407",0.423,1951,0.994,"['Unspecified']",0.573,96307,0.363,0,"0Nr0dhUxTy1XfFmbYWe3kQ",0.627,2,0.233,-11.372,0,"Western Apache: Sunrise Song",1,"1951-01-01",0.0416,100.18
"35358",0.187,2004,0.0894,"['Citizen Cope']",0.573,322187,0.431,0,"6ZixnWzzH1YxqBg9kLOPDy",0,2,0.183,-6.88,1,"Sideways",57,"2004",0.035,112.408
"122141",0.818,2006,0.556,"['Wisin & Yandel']",0.788,234320,0.673,0,"3wsHE9iypGYLWLe3nypsMe",0,3,0.348,-9.272,1,"Pegao",50,"2006-01-01",0.27,96.053
"117443",0.379,1983,0.798,"['Danny Berrios']",0.379,240953,0.354,0,"32ZbNowKbYU0qbltIkuEFz",0,5,0.34,-10.56,1,"No He Visto Justo Desamparado",32,"1983-03-18",0.0312,66.551
"137147",0.697,2001,0.367,"['Ivy']",0.614,265627,0.656,0,"6KT2I8ZtIFLE8aFLBeF1pd",0.15,1,0.113,-7.559,1,"Edge of the Ocean",43,"2001",0.0245,95.531
"78461",0.214,1950,0.972,"['Siegfried Stöckigt', 'Kurt Hiltawsky', 'Gewandhausorchester Leipzig', 'Kurt Masur']",0.312,675653,0.246,0,"0Uah0J0NGQGNe1mTWEQYZi",0.797,9,0.308,-16.899,1,"Rhapsody in Blue",0,"1950",0.0405,78.216
"170430",0.525,2019,0.00119,"['Whiskey Myers']",0.542,259851,0.659,0,"72geHhNU5UA2hU1QgUzXdE",1.53e-05,2,0.128,-5.128,1,"Bury My Bones",57,"2019-09-27",0.0308,128.024
"165617",0.944,1995,0.0413,"['Selena']",0.508,269267,0.857,0,"0HyOhi5EIhwrKkFYoTagMw",6.64e-06,11,0.106,-7.562,0,"Wherever You Are (Donde Quiera Que Estés)",34,"1995",0.0649,179.213
"88460",0.0387,2001,0.804,"['John Williams']",0.18,195200,0.0256,0,"5Vfg6oAN5VpGlKceZyoijb",0.77,2,0.0977,-34.212,1,"The Invisibility Cloak and the Library Scene",49,"2001-10-30",0.0386,127.312
"156281",0.795,1948,0.993,"['Mohammed Rafi', 'Shamshad Begum']",0.642,192295,0.234,0,"6s0hVEhATiLgEr0QQiRhoT",0.546,2,0.45,-10.404,1,"Dheere Dheere Bol Koi Sunle Na",0,"1948-12-31",0.339,83.442
"24093",0.524,1946,0.868,"['Layla Mourad']",0.31,377170,0.628,0,"0yKN2M89zNQTO0QROjfYfW",5.38e-05,0,0.297,-4.711,1,"Ya Men Ykolak",0,"1946-01-01",0.033,96.893
"93782",0.752,1945,0.219,"['Эрих Мария Ремарк']",0.654,102221,0.165,1,"2vBx2Ji6nVNbNalzpxCDWm",1.14e-06,0,0.216,-19.927,1,"Часть 202.4 & Часть 203.1 - Триумфальная арка",0,"1945",0.902,84.712
"155890",0.508,1940,0.351,"['The Gns Band']",0.404,226067,0.684,0,"4yl5RegJvcp6Ne9R19AuXa",0.269,4,0.467,-10.37,0,"Isn,T That So",0,"1940",0.046,109.771
"42666",0.0711,1947,0.985,"['Frédéric Chopin', 'Robert Casadesus']",0.219,468800,0.268,0,"1OcXKZ34aHStkcnTt4JoBC",0.893,10,0.0898,-15.979,1,"Ballade No. 1 in G Minor, Op. 23 - Remastered",0,"1947",0.043,72.089
"3886",0.289,1941,0.796,"['Lena Horne', 'Lennie Hayton & His Orchestra']",0.377,188000,0.201,0,"1PKingBI0VN4QzWhZHXsn1",4.11e-05,8,0.187,-14.211,0,"Mad About the Boy",4,"1941",0.0331,135.679
